strategy,condition_id,end_date,side,entry_price,stake,outcome_yes_won,pnl,sector,edge,kelly_frac,quarter
E4,0x655d8a8ce7713d12c776f00b625e07cb747b979661b19a536ceb4af41ed9a6ad,2026-02-26T22:00:00+00:00,YES,0.74,22.459352037903408,1,7.89112368899309,Other,0.05863912531996052,0.2255350973844635,2026Q1
E4,0x054b10920231dbc3b41bf0d490d76e81d5509259a8d0c89f5321fbfe3eac075f,2026-02-26T22:00:00+00:00,YES,0.665,7.175206421929928,0,-7.175206421929928,Other,0.07315657295562461,0.21837782971828243,2026Q1
E4,0xc699d899015aa42b75decc2a93737017bc0ffba0628d5bec4a4ae991d0f94e35,2026-03-03T14:00:00+00:00,YES,0.87,22.459352037903408,1,3.3559951321005093,Staples,0.12792440249407488,0.9840338653390376,2026Q1
E4,0xde0863fe9101671982e00babd27f3864e4c5871f248f757fc2adbf05944560ec,2026-03-03T14:00:00+00:00,YES,0.74,22.459352037903408,1,7.89112368899309,Other,0.06373262547472369,0.24512548259509112,2026Q1
E4,0x23000173fcd3643360e22316e8335a5b15c6a8900428cc21599393e3bdf7e2d4,2026-03-03T22:00:00+00:00,YES,0.725,22.459352037903408,1,8.519064566101294,Other,0.06668510533534844,0.24249129212853976,2026Q1
E4,0xfb85c8990f64e5012be7434af44659c8bf6b11e08bd2c3aeb507e04365b4d08a,2026-03-03T22:00:00+00:00,YES,0.75,22.459352037903408,1,7.486450679301136,Other,0.06631095396316222,0.2652438158526489,2026Q1
E4,0xb353f06fdefb69d9a37bac9f450cc8f7caf369df53cb4c475783635f4c86a8a2,2026-03-04T14:00:00+00:00,YES,0.72,22.459352037903408,1,8.73419245918466,Other,0.07805424703146535,0.2787651679695191,2026Q1
E4,0x88390c7c6f012f91bb9a14708ef37b6e740817953447f0398dbb14fcf2eea370,2026-03-04T14:00:00+00:00,YES,0.645,22.459352037903408,1,12.361348796055363,Other,0.08621543250235919,0.24286037324608223,2026Q1
E4,0x1a9c4c83572563ad11afaff9c459444e351bef8723548afe655c3e2a9c78dd4e,2026-03-04T14:00:00+00:00,YES,0.81,22.459352037903408,0,-22.459352037903408,Other,0.050833841602184515,0.2675465347483396,2026Q1
E4,0x2b4e8012bf177228dcf4ebc18c6a51c4bc7c3423a00e54f5eb3952e352405ea4,2026-03-04T22:00:00+00:00,YES,0.695,22.459352037903408,1,9.856262405123081,Other,0.0709820751522604,0.23272811525331277,2026Q1
E4,0x0ccb7aa120d5076d1b0ed20c64271c9ba0740e1c69bb49627a921c17939fb42e,2026-03-05T22:00:00+00:00,YES,0.775,22.459352037903408,0,-22.459352037903408,Other,0.05477486806321663,0.2434438580587406,2026Q1
E4,0x31451d5ec63c74a64a33eedd3e23a4f357aaaf7942c3a7a94046e40c7f4952ff,2026-03-05T22:00:00+00:00,YES,0.865,22.459352037903408,1,3.5052167920427286,Staples,0.1328721997004333,0.9842385162995058,2026Q1
E4,0x25d6fa1f15039d717043a595712090f65c0cefabed3254adc285086a5f953a68,2026-03-10T21:00:00+00:00,YES,0.775,22.459352037903408,1,6.520457043262279,TechServices,0.1652862900838168,0.7346057337058525,2026Q1
E4,0x1204dc7352df96e2ebd536331c3c0d99c860442344b6cb952652e1f5ab2d1e0a,2026-03-10T22:00:00+00:00,YES,0.66,1.0221035115144455,0,-1.0221035115144455,Other,0.07331697708808083,0.2156381679061201,2026Q1
E4,0x02c5c9f9685ed5daec04c7fbfc3f145d15dcb2183f56b330b74eab29242adc4a,2026-03-12T13:00:00+00:00,YES,0.765,22.459352037903408,1,6.899278077003007,Other,0.057627087350103134,0.24522164829831122,2026Q1
