condition_id,category,liquidity_tier,strategy,side,entry_price,stake,fee,outcome_yes_won,pnl
0x9dd4a37d1673e7b6ca87fa964179a7a3f8fff75ade389ac5ca266221dfa02a0c,earnings,<5K,S3,NO,0.885,50.0,1.0,1,-51.0
0x75d3c8452ecabc2dc2bd0acb86bb6d8fd6aedfc8a404c270e784406f566f0783,earnings,<5K,S3,NO,0.9095,50.0,1.0,1,-51.0
0x254db11701f2fc714dc60524076296bfabaae6b3c52da8c26e140a520020ec5f,earnings,<5K,S3,NO,0.92,50.0,1.0,1,-51.0
0xc126eb6a8b983472ef344d56576477f4daaa48dd0f191f27286481cdfe9d40a1,earnings,<5K,S3,NO,0.835,50.0,1.0,0,252.03030303030295
0xec1a6445382594b45968ff196c4a8b8226443b905d717aa7eb4cb57c00292156,earnings,<5K,S3,NO,0.905,50.0,1.0,1,-51.0
0xbe2375ce62c3b4721d65df37398c8675c4a7357c4bccad30a356951248ad6cc2,earnings,<5K,S3,NO,0.835,50.0,1.0,0,252.03030303030295
0xa626f84bfafa763610ae8fb800a2386bc10bdb6afe6e61a017caceee9f34d5ec,earnings,<5K,S3,NO,0.91,50.0,1.0,1,-51.0
0x393c6ffb79e74bfd9afdbeb947cf2991522bee6f656d0332027c9814b30b8721,earnings,<5K,S3,NO,0.945,50.0,1.0,1,-51.0
0x2264cc6e300d580b3cc122788dc96a705f4bc6cd1e064f9626ade11160e9a1fe,earnings,<5K,S3,NO,0.77,50.0,1.0,1,-51.0
0x605aa03f16c4ac6bff0395c2d84b4dd575fc0d02640ee2b424aee6a654a53d23,earnings,<5K,S3,NO,0.555,50.0,1.0,1,-51.0
0xd3d4080315114bd1edd3e96415f9a9e31fef066116a483331bda6f150d48e850,earnings,<5K,S3,YES,0.45,50.0,1.0,0,-51.0
0xb88b63d351137c0228585d483cc17d6469285052ff4f3c534862fae918314095,earnings,<5K,S3,NO,0.66,50.0,1.0,1,-51.0
0x00879f5e3f072e07805207c2587893a3a98175602b1fff4fa06858b939a24549,earnings,<5K,S3,NO,0.575,50.0,1.0,1,-51.0
0xc0c1847132d2bf995842c15b2196e64988efc5baaccf337358d11d8ef13d1f06,earnings,<5K,S3,NO,0.88,50.0,1.0,1,-51.0
0x49678123f57453770d58e3917e03afa3154996e5b74b3a593709b0668dc26727,earnings,<5K,S3,NO,0.815,50.0,1.0,1,-51.0
0xd2bd35eafb9c9bf68a7edeee8bd59456884fc845baff8f53efc9b3de79ab32e7,earnings,<5K,S3,NO,0.84,50.0,1.0,1,-51.0
0x7e53cf31b446a4f131d9218cb5b42e2e22860183ec89fc354d6c3b47f0543a05,earnings,<5K,S3,NO,0.94,50.0,1.0,1,-51.0
0x55160517bc772d8a1808ae6ae2816cf8a72e78f9985c43021d400bf89f3edaf8,earnings,<5K,S3,NO,0.865,50.0,1.0,1,-51.0
0x0f84778f8e5251b4d1b96583923fcc501afd7d7f21a63da633ddf9ff8373a461,earnings,5-15K,S1,NO,0.9955,50.0,1.0,1,-51.0
0x5466a34f86708de3b1014fcb0c02ad2fa63456a1e7af1d393d2b16aca3c79832,earnings,5-15K,S1,NO,0.87,50.0,1.0,0,333.6153846153846
0x0cf7d752a5ab03ebb18d46d3924a652dfa6b6d63c03cc2367444fcad1a3fad7d,earnings,5-15K,S1,NO,0.875,50.0,1.0,1,-51.0
0x22b76c016f0461a63ad874a04a3c30094e1b33d476d1d1cb53d85c9d33a78982,earnings,5-15K,S1,NO,0.9545,50.0,1.0,1,-51.0
0xb1ee462d0f3863d30badc5cdd1c6d22fa941a883463f4610173501bbe94f1dda,earnings,5-15K,S1,NO,0.875,50.0,1.0,1,-51.0
0x06fbb392e84a4fd0e669a69569e74de8b203b7452939100bcc8cedd07b16601c,earnings,5-15K,S1,NO,0.865,50.0,1.0,1,-51.0
0x51b35684d2937730df80e0e55c13451c85bfecbd58dcb509720b71d24001c6db,earnings,5-15K,S1,NO,0.885,50.0,1.0,1,-51.0
0xe29975752adf840118daf1df6ddf15f0e85bd5b2cc3a79a66ca0189c5d23c9a6,earnings,5-15K,S1,NO,0.87,50.0,1.0,1,-51.0
0x9235a428976ad408046e7a07137943ade4bfbd70ceade1a85f2e7ef659273535,earnings,5-15K,S1,NO,0.88,50.0,1.0,1,-51.0
0x798fecf33230e3b20823dcb611efc3646bc711f9b17b3cc0b580e6b88dbe44b1,earnings,5-15K,S1,NO,0.93,50.0,1.0,1,-51.0
0xcb5bc87893fe2469451d7376362ed4099705322095c5d81fcca8f9005896043c,earnings,5-15K,S1,NO,0.855,50.0,1.0,1,-51.0
