ticker,sector,end_date,pm_side,polymarket_implied_p_beat,outcome_beat,stock_return,pm_pnl,hedge_ratio,stock_pnl,pnl
IBM,TechServices,2025-10-22 21:00:00+00:00,YES,0.845,1,0.09307445726178255,44.60798816568049,0.0,0.0,44.60798816568049
LVS,Other,2025-10-22 21:00:00+00:00,YES,0.725,1,0.18665014231826427,93.57758620689657,0.0,0.0,93.57758620689657
UNP,Other,2025-10-23 13:00:00+00:00,YES,0.68,1,-0.03990324930036645,116.39705882352938,0.0,0.0,116.39705882352938
PCG,Other,2025-10-23 13:00:00+00:00,NO,0.47,1,-0.0149879316608294,-251.25,0.0,0.0,-251.25
STBA,Other,2025-10-23 13:00:00+00:00,YES,0.795,1,0.030540748643883644,63.21540880503143,0.0,0.0,63.21540880503143
HAS,Other,2025-10-23 13:00:00+00:00,YES,0.805,1,0.044123403711831315,59.3090062111801,0.0,0.0,59.3090062111801
FCN,Other,2025-10-23 13:00:00+00:00,YES,0.665,1,0.0911830069109339,124.68984962406013,0.0,0.0,124.68984962406013
TSCO,Other,2025-10-23 13:00:00+00:00,YES,0.565,1,0.019533322938911427,191.2278761061947,0.0,0.0,191.2278761061947
HON,Other,2025-10-23 13:00:00+00:00,YES,0.815,1,0.04387715559461976,55.49846625766872,0.0,0.0,55.49846625766872
AAL,Industrials,2025-10-23 13:00:00+00:00,YES,0.705,1,0.10188987373414836,103.35992907801419,0.0,0.0,103.35992907801419
BX,Other,2025-10-23 13:00:00+00:00,YES,0.625,0,-0.04107447106989809,-251.25,0.0,0.0,-251.25
AB,Other,2025-10-23 13:00:00+00:00,YES,0.74,1,0.01263900697812356,86.58783783783782,0.0,0.0,86.58783783783782
DOW,Other,2025-10-23 13:00:00+00:00,YES,0.655,1,0.1895516855009016,130.42938931297707,0.0,0.0,130.42938931297707
TMUS,Other,2025-10-23 13:00:00+00:00,YES,0.815,1,-0.040897044706585096,55.49846625766872,0.0,0.0,55.49846625766872
CBRE,Other,2025-10-23 13:00:00+00:00,NO,0.345,0,0.00781836353405302,130.42938931297707,0.0,0.0,130.42938931297707
